document_id,title,family,location,lifecycle,authority,canonicality,adoption_status,production_state,review_priority,blocking_issue,next_action,coverage
CH-034,Activities Narrative,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-034-Activities-Narrative.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-035,Organizational Chart,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-035-Organizational-Chart.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-036,Governing-Body Roster,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-036-Governing-Body-Roster.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-037,Organizational Minutes and Initial Resolutions,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-037-Organizational-Minutes-and-Initial-Resolutions.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-038,Conflict-of-Interest Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-038-Conflict-of-Interest-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-039,Compensation Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-039-Compensation-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-040,Financial Controls Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-040-Financial-Controls-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-041,Contribution and Offering Procedures,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-041-Contribution-and-Offering-Procedures.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-042,Annual Budget and Budget Procedure,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-042-Annual-Budget-and-Budget-Procedure.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-043,Financial Statements and Reporting Standard,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-043-Financial-Statements-and-Reporting-Standard.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-044,Insider and Related-Party Transaction Record,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-044-Insider-and-Related-Party-Transaction-Record.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-045,Political Campaign Compliance Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-045-Political-Campaign-Compliance-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-046,Lobbying Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-046-Lobbying-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-047,Private Benefit and Inurement Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-047-Private-Benefit-and-Inurement-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-048,Records Retention Policy,organizational-compliance,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/compliance/CH-048-Records-Retention-Policy.docx,current-canonical,compliance,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-049,Form 1023 Working Copy,tax-regulatory,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/form-1023/CH-049-Form-1023-Working-Copy.docx,current-canonical,tax-regulatory,canonical draft,not adopted / not filed,RECONCILING,P4,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-050,Form 1023 Schedule A — Churches Working Copy,tax-regulatory,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/schedule-a/CH-050-Form-1023-Schedule-A-Churches-Working-Copy.docx,current-canonical,tax-regulatory,canonical draft,not adopted / not filed,RECONCILING,P4,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-051,Schedule A Evidence Exhibits and Supplemental Response Assembly,tax-regulatory,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/form-1023/CH-051-Schedule-A-Evidence-Exhibits-and-Supplemental-Response-Assembly.docx,current-canonical,tax-regulatory,canonical draft,not adopted / not filed,RECONCILING,P4,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-052,Master Exhibit Index,tax-regulatory,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/form-1023/CH-052-Master-Exhibit-Index.docx,current-canonical,tax-regulatory,canonical draft,not adopted / not filed,RECONCILING,P4,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-053,IRS Church Characteristics Matrix,tax-regulatory,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/form-1023/CH-053-IRS-Church-Characteristics-Matrix.docx,current-canonical,tax-regulatory,canonical draft,not adopted / not filed,RECONCILING,P4,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-054,Church Qualification Narrative,tax-regulatory,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/form-1023/CH-054-Church-Qualification-Narrative.docx,current-canonical,tax-regulatory,canonical draft,not adopted / not filed,RECONCILING,P4,"Derivative narrative must be finalized only after underlying actual congregation, worship, ministry, governance, finance and evidence exist",Finalize in dependency order after higher authorities stabilize,individual
DISC-PROC-001,Disciplinary Procedure Manual and Forms,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/DISC-PROC-001-Disciplinary-Procedure-Manual-and-Forms.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
DOC-OPS-001,Doctrine Docket and Teaching Classification Procedures,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/DOC-OPS-001-Doctrine-Docket-and-Teaching-Classification-Procedures.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
FIN-POL-001,Financial Policies and Procedures Manual,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/FIN-POL-001-Financial-Policies-and-Procedures-Manual.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
GOV-FORMS-001,Governance Forms and Decision Records Manual,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/GOV-FORMS-001-Governance-Forms-and-Decision-Records-Manual.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
LOCAL-AFF-OPS-001,Local Community and Affiliation Implementation Manual,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/LOCAL-AFF-OPS-001-Local-Community-and-Affiliation-Implementation-Manual.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
MIN-OPS-001,Ministerial Credentialing Procedures and Forms Manual,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
OPS-IMPL-001,Operational Implementation Manuals Completion Binder,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/OPS-IMPL-001-Operational-Implementation-Manuals-Completion-Binder.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
SAFE-OPS-001,Safeguarding Procedures and Forms Manual,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/SAFE-OPS-001-Safeguarding-Procedures-and-Forms-Manual.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
SUCC-OPS-001,Leadership Succession Procedures and Transition Forms,operational-manual,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/SUCC-OPS-001-Leadership-Succession-Procedures-and-Transition-Forms.docx,current-canonical,procedural derivative,canonical template/manual,not adopted,REVIEW_READY,P3,Must remain subordinate to controlling constitutional/policy instruments,Review after parent instrument is finalized,individual
TPL-GOV,Governance Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/governance,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-SAFE,Safeguarding Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/safeguarding,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-FIN,Finance Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/finance,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-MIN,Ministry Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/ministry,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-DISC,Discipline Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/discipline,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-DOC,Doctrine Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/doctrine,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-SUCC,Succession Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/succession,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
TPL-LOCAL,Local/Affiliation Template Collection,collection,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/local-affiliation,current-canonical,template-library,collection-level control,not applicable,CLASSIFIED,P4,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
RECORDS,Institutional Records Collections,collection,04_INSTITUTION_AND_GOVERNANCE/institution/07-records,current-canonical,record-system,collection-level control,not applicable,CLASSIFIED,P5,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
EVIDENCE,Institutional Evidence Collections,collection,04_INSTITUTION_AND_GOVERNANCE/institution/08-evidence,current-canonical,evidence-system,collection-level control,not applicable,CLASSIFIED,P5,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
ARCHIVE,Institutional Superseded/Historical Archive,collection,04_INSTITUTION_AND_GOVERNANCE/institution/99-archive,historical,canonical-archive,collection-level control,not applicable,CLASSIFIED,P5,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
HIST-PACK,Historical and Preintegration Packages,collection,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES,historical,provenance-archive,collection-level control,not applicable,CLASSIFIED,P5,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
CHAT-ARCH,Substantive Chat Response Archive,collection,90_WORKING_NOTES_AND_SCRIPTS/Chat_Responses,current-canonical,working-archive,collection-level control,not applicable,CLASSIFIED,P5,Individual artifacts intentionally not expanded in first-pass master register,Expand when that review wave begins,collection
PR-TERM-001,Canonical Terminology Register,production-control,00_START_HERE/production_control/PR-TERM-001-CANONICAL-TERMINOLOGY-REGISTER.csv,current-working,corpus-control,current-control,not applicable,CONTENT_COMPLETE,P0,"Terminology is controlled for drafting but several terms remain expressly provisional or decision-dependent",Use as mandatory terminology crosscheck during reconciliation,individual
REL-V1.6,Pilot Launch Logistics and Venue Release v1.6,release,03_RELEASES_AND_BASELINES/release_v1_6,released-snapshot,pilot-launch-reference,current pilot launch logistics release,pre-incorporation reference,PUBLISHED,P4,"Launch remains gated by real independent concern/safeguarding route, venue permission, accurate public invitation, emergency/site plan, and non-founder facilitation capacity",Review only after governing/safeguarding baseline stabilizes,individual
PR-AUTH-001,Constitutional Authority Map,production-control,00_START_HERE/production_control/PR-AUTH-001-CONSTITUTIONAL-AUTHORITY-MAP.csv,current-working,corpus-control,current-control,not applicable,CONTENT_COMPLETE,P0,"Authority hierarchy mapped; several cross-domain and supersession questions remain explicitly unresolved",Use as mandatory authority crosscheck during PR-XWALK and constitutional reconciliation,individual
